,Job Title,Quantity
0,Data Scientist,143
1,Data Engineer,132
2,Data Analyst,97
3,Machine Learning Engineer,41
4,Research Scientist,16
5,Data Science Manager,12
6,Data Architect,11
7,Big Data Engineer,8
8,Machine Learning Scientist,8
9,Principal Data Scientist,7
10,AI Scientist,7
11,Data Science Consultant,7
12,Director of Data Science,7
13,Data Analytics Manager,7
14,ML Engineer,6
15,Computer Vision Engineer,6
16,BI Data Analyst,6
17,Lead Data Engineer,6
18,Data Engineering Manager,5
19,Business Data Analyst,5
20,Head of Data,5
21,Applied Data Scientist,5
22,Applied Machine Learning Scientist,4
23,Head of Data Science,4
24,Analytics Engineer,4
25,Data Analytics Engineer,4
26,Machine Learning Developer,3
27,Machine Learning Infrastructure Engineer,3
28,Lead Data Scientist,3
29,Computer Vision Software Engineer,3
30,Lead Data Analyst,3
31,Data Science Engineer,3
32,Principal Data Engineer,3
33,Principal Data Analyst,2
34,ETL Developer,2
35,Product Data Analyst,2
36,Director of Data Engineering,2
37,Financial Data Analyst,2
38,Cloud Data Engineer,2
39,Lead Machine Learning Engineer,1
40,NLP Engineer,1
41,Head of Machine Learning,1
42,3D Computer Vision Researcher,1
43,Data Specialist,1
44,Staff Data Scientist,1
45,Big Data Architect,1
46,Finance Data Analyst,1
47,Marketing Data Analyst,1
48,Machine Learning Manager,1
49,Data Analytics Lead,1
