,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_median,salary_in_usd_median
0,2020,Mid-level,Full-Time,Data Scientist,70000,EUR,79833,DE,Remote Work,DE,Large (more than 250 employees),35000,39916
1,2020,Senior-level,Full-Time,Machine Learning Scientist,260000,USD,260000,JP,Remote Work,JP,Small (less than 50 employees),130000,130000
2,2020,Senior-level,Full-Time,Big Data Engineer,85000,GBP,109024,GB,Partially Remote,GB,Medium (between 50 and 250 employess),42500,54512
3,2020,Mid-level,Full-Time,Product Data Analyst,20000,USD,20000,HN,Remote Work,HN,Small (less than 50 employees),10000,10000
4,2020,Senior-level,Full-Time,Machine Learning Engineer,150000,USD,150000,US,Partially Remote,US,Large (more than 250 employees),75000,75000
5,2020,Entry-level,Full-Time,Data Analyst,72000,USD,72000,US,Fully Remote,US,Large (more than 250 employees),36000,36000
6,2020,Senior-level,Full-Time,Lead Data Scientist,190000,USD,190000,US,Fully Remote,US,Small (less than 50 employees),95000,95000
7,2020,Mid-level,Full-Time,Data Scientist,11000000,HUF,35735,HU,Partially Remote,HU,Large (more than 250 employees),5500000,17867
8,2020,Mid-level,Full-Time,Business Data Analyst,135000,USD,135000,US,Fully Remote,US,Large (more than 250 employees),67500,67500
9,2020,Senior-level,Full-Time,Lead Data Engineer,125000,USD,125000,NZ,Partially Remote,NZ,Small (less than 50 employees),62500,62500
10,2020,Entry-level,Full-Time,Data Scientist,45000,EUR,51321,FR,Remote Work,FR,Small (less than 50 employees),22500,25660
11,2020,Mid-level,Full-Time,Data Scientist,3000000,INR,40481,IN,Remote Work,IN,Large (more than 250 employees),1500000,20240
12,2020,Entry-level,Full-Time,Data Scientist,35000,EUR,39916,FR,Remote Work,FR,Medium (between 50 and 250 employess),17500,19958
13,2020,Mid-level,Full-Time,Lead Data Analyst,87000,USD,87000,US,Fully Remote,US,Large (more than 250 employees),43500,43500
14,2020,Mid-level,Full-Time,Data Analyst,85000,USD,85000,US,Fully Remote,US,Large (more than 250 employees),42500,42500
15,2020,Mid-level,Full-Time,Data Analyst,8000,USD,8000,PK,Partially Remote,PK,Large (more than 250 employees),4000,4000
